Timestamp,day time,type,duration,intensity,number of reps,comments,subjective level,,https://docs.google.com/forms/d/e/1FAIpQLSdHnTpfXK465DjzWGKb2FDjVXJ96sm4HVRhnMDPIosyTUGseQ/viewform
4/25/2020 13:18:15,4/24/2020 15:35:00,kettlebell,00:10,4,,"Kettlebell swings, snatches, goblin squats with rest in between ",3,,
4/25/2020 13:19:13,4/25/2020 10:00:00,trampoline,00:01,2,,,1,,
4/25/2020 14:17:21,4/25/2020 14:10:00,pushup,00:04,4,50,2x25 with breath holding (25 push ups in one breath),3,,
4/25/2020 15:16:26,4/25/2020 12:40:00,trampoline,00:02,2,,,1,,
4/25/2020 15:17:13,4/25/2020 13:05:00,walking,00:06,1,,,1,,
4/25/2020 16:48:18,4/25/2020 14:45:00,"weight lifting, movement, kettlebell",00:03,3,5,"curls, handstands",3,,
4/25/2020 19:47:02,4/25/2020 15:56:00,"trampoline, movement, kettlebell",00:10,4,,"Kettlebell snatches, Dips using chairs",4,,
4/26/2020 17:40:06,4/26/2020 10:10:00,trampoline,00:02,2,,morning trampoline,1,,
4/26/2020 17:41:12,4/26/2020 13:30:00,kettlebell,00:05,2,10,judo warmup with kettlebells,3,,
4/26/2020 17:42:00,4/26/2020 14:50:00,trampoline,00:01,2,,,1,,
4/26/2020 17:43:43,4/26/2020 15:10:00,walking,00:30,1,,,1,,
4/26/2020 17:44:27,4/26/2020 15:14:00,calisthenics,00:04,3,,pull ups and parallel bars sit to plank ,4,,
4/26/2020 17:46:11,4/26/2020 15:30:00,pole,00:01,3,1,pole climb,5,,
4/27/2020 12:23:36,4/27/2020 9:30:00,trampoline,00:01,1,,,1,,
4/27/2020 14:32:35,4/27/2020 12:28:00,"trampoline, movement, kettlebell",00:05,3,,"trampoline, kettlebell snatches, handstands",3,,
4/27/2020 15:13:16,4/27/2020 13:00:00,kettlebell,00:01,3,10,single arm rows 10/arm,4,,
4/27/2020 16:22:56,4/27/2020 14:22:00,trampoline,00:01,2,,,1,,
4/27/2020 22:48:28,4/27/2020 15:30:00,"trampoline, weight lifting, stretching/foam rolling, movement, pole, kettlebell",00:40,4,,"trampoline warmup 5min, alternating with rest in between:Goblet squats/lunges,Pole climbs,wall climbs,kettlebell swings,pushups to failure",4,,
4/28/2020 11:08:33,4/28/2020 8:50:00,"trampoline, pushup",00:02,2,10,,3,,
4/28/2020 15:39:43,4/28/2020 13:25:00,"trampoline, movement",00:05,3,,"trampoline warmup, Pistol squats, handstand push ups, lizard walk",4,,
4/28/2020 19:44:13,4/25/2020 15:52:00,"trampoline, movement, pole, kettlebell",00:30,4,,"Trampoline warm up, Pole climbs, Handstand push ups, Pistol squats, kettlebell snatches, kettlebell swings, pushups",5,,
4/29/2020 21:18:24,4/29/2020 15:00:00,"trampoline, movement, pole, kettlebell, pushup",00:20,3,,with rests,4,,
4/30/2020 11:16:02,4/30/2020 8:13:00,"trampoline, movement",00:06,3,,"trampoline warmup, just jumping jacks and stuff like that",2,,
4/30/2020 16:05:29,4/30/2020 13:00:00,"trampoline, movement",00:15,2,,"work on mobility, multiple rests while watching course",1,,
4/30/2020 21:11:37,4/30/2020 15:50:00,movement,00:03,3,,mobility work and movement culture style warmup,2,,
4/30/2020 21:12:41,4/30/2020 14:30:00,movement,00:05,1,,resistance band mobility work,2,,
5/1/2020 15:01:04,5/1/2020 10:00:00,"trampoline, kettlebell",00:03,1,,,3,,
5/1/2020 15:02:27,5/1/2020 10:40:00,"trampoline, kettlebell, pushups",00:04,2,,,3,,
5/1/2020 15:04:21,5/1/2020 12:40:00,"trampoline, pole, kettlebell",00:02,3,,"pole climb, kettlebell Turkish get-ups",4,,
5/1/2020 21:18:35,5/1/2020 16:30:00,"trampoline, movement, pole, kettlebell",00:08,3,,,3,,
5/2/2020 14:47:45,5/2/2020 11:00:00,"trampoline, movement, kettlebell",00:05,2,,,3,,
5/2/2020 16:40:34,5/2/2020 13:55:00,"trampoline, movement, pole",00:05,2,,"pistol squats, pole climb, movement",4,,
5/2/2020 16:41:14,5/2/2020 2:40:00,movement,00:01,2,,handstand pushups,4,,
5/2/2020 20:39:31,5/2/2020 16:00:00,"movement, gymnastic rings",00:30,3,,"muscle-ups, iron cross, front to back lever, pistol squats",5,,
5/3/2020 16:42:15,5/3/2020 10:10:00,"trampoline, movement, kettlebell",00:02,2,,Morning warm up,1,,
5/3/2020 16:43:27,5/3/2020 14:10:00,"pole, kettlebell",00:15,3,,"Pole technique, kettlebell get ups",3,,
5/3/2020 18:06:04,5/3/2020 15:00:00,"running, movement",00:35,3,,"Running at home with resistance band, moderate intensity, movement style leg workout, knee and ankle rehab",2,,
5/4/2020 13:49:48,5/4/2020 11:00:00,"acro, trampoline, movement, kettlebell",00:05,2,,"movement break, kettlebell turkish getups, trampoline, stretching, handstand",3,,
5/4/2020 14:34:10,5/4/2020 14:20:00,"stretching/foam rolling, kettlebell",00:05,2,,,3,,
5/4/2020 16:06:52,5/4/2020 13:30:00,movement,00:01,2,3,Handstand,3,,
5/5/2020 14:27:13,5/5/2020 11:50:00,pushup,00:01,2,20,,2,,
5/5/2020 14:28:15,5/5/2020 9:30:00,kettlebell,00:05,2,,,3,,
5/6/2020 10:40:02,5/6/2020 14:30:00,"trampoline, movement, pole, kettlebell",00:25,3,,"movement training, kettlebell swings, snatches, pole climbs",4,,
5/6/2020 16:41:01,5/6/2020 11:45:00,kettlebell,00:02,2,,,3,,
5/6/2020 16:43:11,5/6/2020 11:00:00,"kettlebell, pushup",00:05,2,,,3,,
5/6/2020 22:03:41,5/6/2020 15:00:00,"trampoline, movement, kettlebell",00:25,3,,"General movement, kettlebell weight training, trampoline warmup",3,,
5/7/2020 11:29:56,5/7/2020 8:42:00,"trampoline, movement",00:02,3,,"trampoline warmup, handstand pushups, wall climbs",3,,
5/7/2020 12:29:21,5/7/2020 10:22:00,"trampoline, movement, pushup",00:05,3,,"Handstands, pushups",2,,
5/7/2020 14:01:33,5/7/2020 11:30:00,pole,00:01,3,1,pole climb,4,,
5/7/2020 18:06:10,5/7/2020 15:30:00,walking,00:30,1,,,1,,
5/7/2020 21:56:25,5/7/2020 16:00:00,"trampoline, movement, pole, kettlebell",00:20,3,,movement training with pauses,4,,
5/9/2020 15:10:23,5/8/2020 15:50:00,"trampoline, movement, pole, kettlebell",00:30,3,,,4,,
5/9/2020 15:11:08,5/9/2020 13:00:00,pushup,00:01,3,30,,3,,
5/9/2020 18:57:51,5/9/2020 15:10:00,"acro, walking",01:00,1,,Walk and acro,2,,
5/10/2020 14:26:57,5/10/2020 12:15:00,"trampoline, movement, pole, kettlebell, pushup",00:05,3,,,4,,
5/10/2020 15:55:37,5/10/2020 13:40:00,movement,00:01,2,3,Handstand pushups,4,,
5/10/2020 17:50:42,5/10/2020 15:00:00,"trampoline, movement, pole, kettlebell",00:30,4,,,4,,
5/11/2020 13:38:44,5/11/2020 11:20:00,kettlebell,00:05,4,,Kettlebell swings/snatches,3,,
5/11/2020 22:00:14,5/11/2020 16:00:00,"trampoline, movement, pole",00:30,3,,Movement culture style training,3,,
5/12/2020 14:58:52,5/12/2020 11:55:00,"trampoline, movement, kettlebell",00:05,3,,,3,,
5/12/2020 14:59:25,5/12/2020 12:40:00,"trampoline, movement",00:02,4,,,2,,
5/12/2020 18:26:48,5/12/2020 14:50:00,"trampoline, movement, pole, kettlebell",00:30,4,,"General movement training with pauses and short high intensity intervals, handstand push ups, pole climbs, dips, lizard walks etc. finished with stretching",4,,
5/13/2020 14:29:14,5/13/2020 12:25:00,movement,00:02,2,,,3,,
5/13/2020 19:18:14,5/13/2020 14:45:00,"trampoline, movement, kettlebell",00:30,3,,"General movement, dips, kettlebell swings, triceps focus",3,,
5/13/2020 19:18:56,5/13/2020 15:30:00,walking,00:10,1,,,1,,
5/14/2020 13:08:47,5/14/2020 11:00:00,dips,00:01,2,5,,2,,
5/14/2020 13:54:47,5/14/2020 11:45:00,kettlebell,00:01,1,,,4,,
5/14/2020 19:16:47,5/14/2020 15:50:00,"trampoline, movement",00:40,3,,General movement random stuff,2,,
5/15/2020 12:33:59,5/15/2020 10:15:00,"apnea tables, dips",00:01,2,15,,3,,
5/15/2020 13:31:27,5/15/2020 11:25:00,movement,00:03,2,,General movement break,3,,
5/15/2020 14:01:40,5/15/2020 11:40:00,movement,00:01,2,2,pistol squats,5,,
5/15/2020 15:52:29,5/15/2020 13:49:00,"apnea tables, kettlebell",00:01,3,30,kettlebell swings with breath hold,4,,
5/15/2020 19:18:58,5/15/2020 15:25:00,"trampoline, movement, pole, kettlebell",01:00,3,,General movement training with pauses,3,,
5/16/2020 14:38:59,5/16/2020 11:50:00,"movement, kettlebell",00:02,2,2,kettlebell turkish get-ups with pressing,4,,
5/16/2020 16:08:09,5/16/2020 14:00:00,"trampoline, pole",00:01,2,1,pole climb,4,,
5/16/2020 19:50:52,5/16/2020 15:25:00,walking,01:00,1,,,1,,
5/17/2020 12:23:11,5/17/2020 10:15:00,trampoline,00:01,1,,,1,,
5/17/2020 16:49:57,5/17/2020 14:00:00,"movement, kettlebell",00:01,2,10,,3,,
5/17/2020 18:57:07,5/17/2020 15:00:00,kettlebell,00:01,2,8,swings,3,,
5/17/2020 18:57:27,5/17/2020 15:10:00,walking,00:40,1,,,1,,
5/17/2020 18:58:24,5/17/2020 15:25:00,pullups,00:01,2,5,pullups and grip hold,4,,
5/18/2020 15:49:14,5/18/2020 11:20:00,walking,01:30,1,,,1,,
5/18/2020 17:10:50,5/18/2020 3:05:00,trampoline,00:01,1,,,1,,
5/19/2020 12:10:41,5/19/2020 9:50:00,kettlebell,00:01,2,10,swings,3,,
5/19/2020 14:23:04,5/19/2020 12:00:00,"movement, kettlebell",00:03,2,,,3,,
5/20/2020 15:12:23,5/20/2020 11:50:00,movement,00:01,2,,,2,,
5/20/2020 20:46:43,5/20/2020 15:20:00,"walking, gymnastic rings",00:40,3,,Gymnastic rings outdoor training with rests,4,,
5/21/2020 13:06:27,5/21/2020 10:48:00,"movement, kettlebell",00:01,2,,,2,,
5/21/2020 13:39:19,5/21/2020 11:35:00,trampoline,00:01,2,,,1,,
5/21/2020 14:31:25,5/21/2020 12:29:00,"trampoline, movement",00:01,2,,,1,,
5/21/2020 22:59:01,5/21/2020 15:30:00,walking,00:40,1,,,1,,
5/22/2020 13:18:37,5/22/2020 11:00:00,movement,00:02,2,,,1,,
5/22/2020 16:18:27,5/22/2020 14:00:00,movement,00:02,1,,,1,,
5/22/2020 19:30:54,5/22/2020 16:20:00,"trampoline, movement",00:40,2,,trampoline warmup mobility workout,2,,
5/22/2020 20:13:33,5/22/2020 2:25:00,"trampoline, movement",00:05,1,,general movement,1,,
5/23/2020 14:25:09,5/23/2020 12:22:00,"trampoline, kettlebell",00:02,2,,,3,,
5/23/2020 21:35:13,5/23/2020 13:50:00,"movement, biking",00:30,2,,,1,,
5/23/2020 21:35:45,5/23/2020 17:00:00,movement,00:30,4,,,1,,
5/24/2020 10:59:10,5/24/2020 9:25:00,"movement, kettlebell",00:02,1,,,3,,
5/24/2020 11:00:20,5/24/2020 10:45:00,"movement, kettlebell",00:05,2,,"presses, pushups, elevated pushups, rows",3,,
5/24/2020 15:50:10,5/24/2020 11:50:00,"trampoline, pole, kettlebell",00:05,2,,"pole climb, trampoline warm up, push ups, kettlebell movements",4,,
5/24/2020 15:50:53,5/24/2020 13:40:00,movement,00:02,2,2,Handstand pushups,5,,
5/24/2020 16:15:14,5/24/2020 14:00:00,movement,00:04,2,,movement culture style movement,2,,
5/24/2020 17:21:23,5/24/2020 15:07:00,movement,00:01,2,10,concentrated elevated pushups,4,,
5/25/2020 0:01:05,5/24/2020 15:40:00,walking,00:50,1,,,1,,
5/25/2020 0:01:45,5/24/2020 16:30:00,movement,00:02,3,,,4,,
5/25/2020 12:12:59,5/25/2020 9:35:00,"trampoline, kettlebell",00:01,2,,,2,,
5/25/2020 13:01:13,5/25/2020 10:47:00,"trampoline, movement",00:01,2,,,1,,
5/25/2020 14:44:05,5/25/2020 12:30:00,"trampoline, movement",00:01,2,,"Handstand pushups, trampoline",4,,
5/26/2020 10:25:27,5/26/2020 7:30:00,dips,00:01,1,8,,3,,
5/26/2020 14:21:21,5/26/2020 11:10:00,"trampoline, kettlebell",00:02,2,,,3,,
5/26/2020 14:22:11,5/26/2020 23:45:00,movement,00:04,1,,,2,,
5/26/2020 15:07:03,5/26/2020 15:00:00,"movement, kettlebell",00:03,2,,Triceps shoulders chest glutes targeting ,4,,
5/26/2020 19:34:49,5/26/2020 15:20:00,"walking, kettlebell",00:50,1,,,1,,
5/26/2020 19:36:27,5/26/2020 18:00:00,"stretching/foam rolling, movement, pole, calisthenics",00:20,3,,"straddle to plank, levers, stretching",5,,
5/27/2020 14:36:03,5/27/2020 12:12:00,movement,00:04,2,,"squats, pistol squats",3,,
5/27/2020 15:01:01,5/27/2020 12:40:00,movement,00:05,2,,"pistol squats, dragon squats",4,,
5/27/2020 18:11:49,5/27/2020 14:00:00,walking,00:45,1,,,1,,
5/28/2020 15:56:29,5/28/2020 13:12:00,"trampoline, movement",00:02,2,,,1,,
5/28/2020 20:07:59,5/28/2020 15:40:00,movement,00:04,3,,,1,,
5/28/2020 20:08:43,5/28/2020 15:55:00,walking,02:00,1,,,1,,
5/29/2020 13:57:15,5/29/2020 11:34:00,"trampoline, weight lifting, movement, kettlebell",00:10,3,,focus on triceps,3,,
5/29/2020 14:49:46,5/29/2020 12:12:00,movement,00:05,2,,"triceps focus, judo neuromuscular conn",3,,
5/29/2020 16:04:41,5/29/2020 13:30:00,movement,00:04,2,,triceps focus,3,,
5/29/2020 18:53:14,5/29/2020 15:30:00,"movement, pole, kettlebell",00:30,3,,"triceps, back, handstand pushups",3,,
5/29/2020 20:17:35,5/29/2020 4:30:00,walking,01:00,1,,,1,,
5/30/2020 13:14:24,5/30/2020 9:20:00,"running, walking",00:40,3,,,2,,
5/30/2020 21:42:00,5/30/2020 15:50:00,movement,00:30,2,,,2,,
5/30/2020 21:42:28,5/30/2020 4:50:00,walking,01:00,1,,,1,,
5/31/2020 11:23:38,5/31/2020 7:20:00,"trampoline, running, walking",00:30,2,,,1,,
5/31/2020 14:24:07,5/31/2020 12:10:00,"movement, kettlebell",00:05,3,,"swings, lunges, squats",3,,
5/31/2020 19:28:35,5/31/2020 13:30:00,walking,01:00,1,,,1,,
5/31/2020 19:29:06,5/31/2020 15:00:00,movement,00:30,4,,,2,,