DAY,TRE (12),TRE (14-16),Water10h,Sunlight 5min,IR,Fast (islm),sitting,snacking,anxiety levels
3/15/2020,YES,YES,YES,NO,5,NO,6,6,3
3/16/2020,YES,NO,YES,YES,0,NO,8,6,3
3/17/2020,YES,YES,YES,NO,0,NO,6,6,3
3/18/2020,YES,YES,NO,YES,5,NO,6,6,4
3/19/2020,YES,YES,YES,YES,0,YES,8,9,1
3/20/2020,YES,YES,YES,YES,5,NO,6,9,1
3/21/2020,YES,YES,YES,YES,0,NO,8,8,1
3/22/2020,YES,YES,YES,YES,0,NO,6,6,3
3/23/2020,YES,YES,YES,YES,0,NO,6,6,3
3/24/2020,YES,YES,YES,YES,5,NO,6,6,3
3/25/2020,YES,YES,YES,YES,0,NO,8,8,4
3/26/2020,YES,YES,YES,YES,0,NO,9,5,4
3/27/2020,YES,YES,YES,YES,0,NO,8,6,2
3/28/2020,YES,YES,YES,YES,0,NO,8,6,4
3/29/2020,YES,YES,YES,YES,0,NO,8,8,8
3/30/2020,YES,YES,YES,YES,5,NO,6,8,8
3/31/2020,YES,NO,YES,YES,0,NO,6,6,5
4/1/2020,YES,YES,YES,YES,0,NO,8,6,3
4/2/2020,YES,NO,NO,YES,0,NO,6,5,4
4/3/2020,YES,YES,YES,YES,5,NO,6,8,2
4/4/2020,YES,NO,YES,YES,5,NO,6,6,5
4/5/2020,YES,YES,YES,YES,7,NO,8,8,4
4/6/2020,YES,YES,YES,YES,10,NO,8,8,4
4/7/2020,YES,NO,YES,NO,10,NO,8,8,4
4/8/2020,YES,YES,YES,YES,5,NO,6,8,4
4/9/2020,YES,NO,YES,YES,0,NO,6,8,3
4/10/2020,YES,NO,YES,NO,5,NO,6,6,3
4/11/2020,YES,YES,YES,YES,20,NO,6,6,3
4/12/2020,YES,YES,YES,NO,0,NO,8,8,4
4/13/2020,YES,YES,YES,YES,0,NO,5,8,5
4/14/2020,YES,YES,YES,NO,0,NO,6,5,5
4/15/2020,YES,NO,YES,NO,5,NO,8,6,4
4/16/2020,YES,NO,YES,YES,0,NO,5,8,4
4/17/2020,YES,YES,YES,YES,0,NO,5,8,3
4/18/2020,YES,YES,YES,NO,5,NO,6,6,3
4/19/2020,YES,YES,NO,NO,5,NO,6,8,3
4/20/2020,YES,YES,YES,YES,5,NO,8,8,5
4/21/2020,YES,NO,NO,YES,4,NO,8,8,4
4/22/2020,YES,YES,YES,YES,5,NO,6,6,5
4/23/2020,YES,NO,YES,YES,0,NO,5,8,4
4/24/2020,YES,YES,YES,NO,0,YES,6,9,4
4/25/2020,YES,YES,YES,YES,5,YES,6,9,3
4/26/2020,YES,YES,YES,YES,0,YES,6,9,3
4/27/2020,YES,YES,YES,NO,30,YES,8,9,4
4/28/2020,YES,YES,YES,NO,18,YES,6,9,4
4/29/2020,YES,YES,YES,NO,7,YES,8,9,4
4/30/2020,YES,YES,YES,YES,0,YES,6,9,2
5/1/2020,YES,YES,YES,NO,5,YES,9,9,3
5/2/2020,YES,YES,YES,YES,0,YES,8,9,3
5/3/2020,YES,YES,YES,NO,0,YES,8,9,2
5/4/2020,YES,YES,YES,NO,10,YES,8,9,3
5/5/2020,YES,YES,YES,YES,0,YES,8,9,4
5/6/2020,YES,YES,YES,NO,10,YES,6,8,4
5/7/2020,YES,YES,YES,YES,5,YES,6,8,4
5/8/2020,YES,YES,YES,NO,0,YES,6,8,3
5/9/2020,YES,YES,YES,YES,7,YES,6,9,3
5/10/2020,YES,YES,YES,NO,0,YES,8,9,2
5/11/2020,YES,YES,YES,YES,5,YES,6,9,3
5/12/2020,YES,YES,YES,NO,0,YES,6,9,4
5/13/2020,YES,YES,YES,YES,10,YES,6,8,3
5/14/2020,YES,YES,YES,NO,10,YES,8,8,3
5/15/2020,YES,YES,YES,YES,0,YES,8,6,3
5/16/2020,YES,YES,YES,YES,0,YES,8,8,3
5/17/2020,YES,YES,YES,YES,10,YES,8,6,3
5/18/2020,YES,YES,YES,YES,10,YES,8,8,3
5/19/2020,YES,YES,YES,YES,10,YES,6,9,4
5/20/2020,YES,YES,YES,YES,0,YES,8,9,2
5/21/2020,YES,YES,YES,YES,0,YES,8,8,3
5/22/2020,YES,YES,YES,YES,0,YES,8,9,3
5/23/2020,YES,YES,YES,NO,12,YES,8,9,2
5/24/2020,NO,NO,YES,YES,1,NO,8,6,1
5/25/2020,YES,YES,YES,YES,0,YES,8,9,3
5/26/2020,YES,NO,YES,YES,20,NO,8,8,2
5/27/2020,YES,YES,YES,YES,0,NO,8,6,4
5/28/2020,YES,YES,YES,YES,14,YES,6,9,3
5/29/2020,YES,NO,NO,YES,1,NO,8,6,2
5/30/2020,YES,YES,YES,YES,1,NO,8,8,3
5/31/2020,YES,NO,NO,YES,1,NO,8,5,3
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
,NO,NO,NO,NO,,NO,,,
