,awake,bedtime_end,bedtime_end_delta,bedtime_start,bedtime_start_delta,breath_average,deep,duration,efficiency,hr_5min,hr_average,hr_lowest,hypnogram_5min,is_longest,light,midpoint_at_delta,midpoint_time,onset_latency,period_id,rem,restless,rmssd,rmssd_5min,score,score_alignment,score_deep,score_disturbances,score_efficiency,score_latency,score_rem,score_total,summary_date,temperature_delta,temperature_deviation,temperature_trend_deviation,timezone,total
0,4710,2020-03-16T08:49:59+01:00,31799,2020-03-16T01:46:59+01:00,6419,14.375,5910,25380,81,"[58, 57, 57, 56, 56, 56, 56, 56, 57, 56, 56, 57, 59, 61, 63, 61, 61, 61, 61, 61, 60, 60, 57, 58, 59, 58, 58, 58, 59, 59, 58, 57, 55, 58, 61, 56, 55, 58, 57, 58, 58, 58, 58, 58, 59, 59, 59, 56, 56, 56, 57, 57, 56, 56, 56, 56, 58, 56, 0, 57, 56, 57, 58, 56, 56, 57, 57, 58, 58, 58, 59, 56, 57, 61, 59, 59, 59, 57, 65, 58, 58, 59, 55, 0, 57]",57.84,55,4222211112222144222111142222211122224222222111142212222444442244222222113334223322244,1,13050,18629,12210,210,0,1710,27,33,"[20, 23, 30, 35, 19, 20, 30, 23, 31, 46, 27, 26, 37, 37, 44, 31, 27, 18, 20, 18, 34, 18, 51, 50, 20, 29, 42, 31, 34, 27, 29, 37, 36, 32, 30, 32, 47, 46, 37, 43, 24, 20, 33, 32, 29, 27, 46, 37, 37, 28, 45, 52, 37, 41, 39, 36, 34, 37, 0, 55, 48, 60, 45, 39, 41, 31, 43, 34, 37, 42, 38, 54, 59, 38, 49, 49, 53, 51, 35, 35, 35, 33, 44, 0, 54]",61,34,96,69,76,70,25,59,2020-03-15,-0.17,-0.17,0.0,60,20670
1,6210,2020-03-17T09:34:33+01:00,34473,2020-03-17T00:31:33+01:00,1893,14.0,8160,32580,81,"[0, 58, 57, 57, 57, 57, 57, 56, 56, 57, 57, 57, 57, 58, 58, 58, 59, 63, 62, 63, 62, 62, 61, 61, 60, 60, 59, 59, 59, 60, 58, 57, 59, 62, 68, 69, 74, 67, 62, 61, 61, 60, 58, 56, 56, 56, 56, 57, 58, 57, 57, 58, 58, 58, 59, 59, 59, 59, 57, 60, 58, 59, 58, 56, 57, 57, 58, 58, 57, 57, 57, 58, 58, 58, 59, 61, 62, 63, 59, 59, 61, 62, 58, 57, 57, 58, 56, 56, 57, 57, 58, 60, 59, 62, 58, 58, 59, 59, 60, 66, 63, 62, 60, 59, 59, 59, 59, 59, 0]",59.16,56,4211111114211111122221211142222242334422221221111112111112334222222142222124344234424422233322223333422223344,1,13860,17553,15660,240,0,4350,22,33,"[0, 28, 34, 40, 21, 24, 19, 19, 30, 53, 29, 22, 20, 30, 38, 28, 24, 30, 26, 37, 25, 20, 22, 18, 19, 18, 38, 19, 44, 49, 53, 40, 54, 38, 26, 18, 17, 32, 43, 47, 38, 38, 39, 42, 27, 29, 35, 37, 49, 37, 53, 33, 26, 28, 26, 27, 37, 41, 47, 33, 42, 32, 46, 45, 58, 43, 41, 46, 48, 40, 33, 24, 28, 35, 56, 50, 55, 42, 51, 42, 23, 32, 52, 38, 37, 43, 52, 38, 44, 36, 47, 62, 69, 49, 43, 45, 53, 56, 49, 26, 44, 36, 32, 43, 25, 28, 27, 30, 0]",74,43,99,68,74,70,66,82,2020-03-16,-0.1,-0.1,-0.03,60,26370
2,5640,2020-03-18T09:41:33+01:00,34893,2020-03-18T00:58:33+01:00,3513,13.75,5940,31380,82,"[0, 59, 58, 57, 56, 56, 55, 55, 56, 57, 58, 58, 59, 59, 59, 63, 62, 64, 0, 58, 59, 59, 60, 59, 60, 60, 60, 60, 61, 59, 58, 58, 60, 58, 57, 56, 56, 58, 56, 57, 59, 59, 60, 60, 60, 60, 60, 60, 61, 59, 58, 59, 58, 58, 61, 58, 59, 59, 57, 58, 58, 0, 0, 58, 58, 59, 58, 56, 56, 57, 57, 56, 57, 59, 59, 60, 60, 61, 59, 64, 59, 57, 61, 59, 59, 59, 58, 55, 56, 57, 57, 58, 57, 56, 58, 59, 59, 58, 60, 59, 58, 58, 59, 58, 59]",58.5,55,422211111111222244422222221122221222222222221111122221443422444222222222221134444223322221122222433322244,1,18030,18723,15210,210,0,1770,21,35,"[0, 17, 20, 43, 34, 34, 34, 25, 33, 26, 23, 19, 36, 30, 28, 22, 27, 32, 0, 25, 18, 15, 23, 19, 15, 22, 15, 16, 28, 25, 45, 31, 29, 39, 52, 38, 40, 50, 49, 46, 37, 26, 47, 37, 31, 36, 28, 29, 36, 36, 37, 49, 37, 36, 49, 38, 42, 28, 41, 39, 34, 0, 0, 23, 35, 39, 37, 49, 46, 41, 51, 67, 47, 40, 37, 29, 53, 52, 36, 32, 44, 35, 29, 40, 28, 44, 39, 56, 45, 45, 39, 38, 51, 58, 53, 48, 48, 50, 28, 45, 54, 44, 50, 51, 41]",68,33,96,67,76,70,26,80,2020-03-17,0.02,0.02,0.0,60,25740
3,4170,2020-03-19T09:25:33+01:00,33933,2020-03-19T00:42:33+01:00,2553,13.75,8820,31380,87,"[0, 0, 55, 56, 55, 55, 55, 55, 55, 55, 54, 55, 57, 57, 58, 57, 57, 57, 56, 57, 58, 59, 57, 57, 57, 57, 57, 58, 58, 58, 58, 58, 63, 61, 63, 61, 61, 60, 59, 59, 58, 58, 58, 58, 58, 59, 57, 57, 59, 58, 58, 56, 58, 56, 59, 59, 57, 57, 57, 57, 57, 57, 57, 57, 56, 56, 57, 57, 58, 58, 57, 57, 57, 57, 59, 61, 58, 56, 56, 56, 57, 57, 55, 58, 59, 59, 59, 59, 58, 59, 58, 59, 59, 59, 59, 60, 57, 60, 59, 58, 58, 58, 59, 59, 61]",57.73,54,422211111111422221111111121111123112222222221221112222222222122222112222122442222222233222222222244333344,1,15930,17883,15330,630,0,2460,19,37,"[0, 0, 31, 38, 39, 27, 29, 35, 27, 24, 34, 32, 33, 32, 32, 35, 22, 21, 28, 19, 24, 23, 25, 25, 29, 40, 30, 29, 26, 29, 38, 50, 35, 39, 37, 44, 21, 39, 35, 50, 31, 37, 35, 35, 35, 42, 49, 42, 47, 44, 39, 43, 32, 53, 49, 52, 38, 71, 50, 54, 43, 40, 53, 44, 32, 37, 31, 41, 45, 27, 29, 36, 30, 24, 33, 48, 51, 49, 49, 47, 65, 43, 53, 40, 63, 63, 46, 33, 42, 40, 50, 47, 50, 49, 36, 41, 57, 54, 53, 32, 28, 34, 44, 38, 35]",75,40,100,67,88,89,36,86,2020-03-18,0.02,0.02,0.06,60,27210
4,5280,2020-03-20T08:42:30+01:00,31350,2020-03-20T00:12:30+01:00,750,14.0,8850,30600,83,"[60, 60, 60, 59, 58, 58, 58, 58, 58, 58, 60, 62, 58, 58, 58, 58, 58, 59, 60, 61, 61, 61, 60, 57, 59, 58, 58, 58, 58, 58, 58, 57, 58, 61, 60, 65, 0, 0, 56, 56, 56, 56, 55, 55, 55, 55, 55, 56, 56, 56, 56, 54, 55, 54, 54, 56, 57, 60, 58, 56, 55, 55, 56, 56, 56, 56, 57, 57, 57, 54, 55, 56, 56, 56, 55, 56, 57, 60, 58, 63, 57, 56, 58, 59, 58, 56, 56, 57, 57, 57, 57, 56, 57, 57, 58, 58, 57, 57, 58, 59, 60, 0, 57]",57.46,54,421111111111222222211112222111111434444222222111221122222222422222231222222214444222222224433322221144,1,15000,15090,14340,150,0,1470,22,39,"[19, 21, 19, 20, 23, 22, 25, 29, 39, 27, 32, 33, 43, 31, 37, 28, 36, 49, 36, 38, 31, 41, 52, 33, 40, 25, 23, 24, 29, 25, 28, 29, 45, 43, 44, 23, 0, 0, 42, 47, 34, 25, 26, 32, 34, 28, 33, 33, 32, 30, 31, 65, 72, 47, 53, 52, 50, 42, 71, 48, 47, 42, 43, 45, 44, 50, 33, 38, 48, 47, 58, 41, 54, 59, 64, 71, 33, 37, 48, 37, 40, 45, 44, 57, 52, 49, 42, 38, 50, 60, 41, 42, 29, 26, 35, 45, 40, 41, 48, 46, 36, 0, 57]",68,64,100,53,79,67,22,78,2020-03-19,-0.08,-0.08,0.04,60,25320
5,6120,2020-03-21T10:33:20+01:00,38000,2020-03-21T01:27:20+01:00,5240,13.75,9060,32760,81,"[57, 56, 56, 55, 56, 56, 55, 56, 55, 55, 55, 55, 55, 57, 61, 62, 60, 60, 56, 55, 55, 55, 56, 56, 56, 56, 56, 56, 56, 53, 52, 53, 53, 53, 54, 54, 55, 59, 57, 61, 0, 0, 53, 52, 52, 53, 53, 53, 55, 55, 55, 55, 54, 55, 57, 56, 56, 59, 62, 57, 60, 57, 54, 52, 53, 54, 55, 56, 56, 56, 56, 58, 56, 56, 57, 57, 57, 0, 0, 0, 55, 55, 55, 56, 57, 57, 56, 57, 57, 60, 57, 57, 55, 58, 57, 58, 58, 56, 56, 57, 58, 59, 58, 58, 56, 57, 57, 58, 0, 0]",56.08,52,42211111111111422222212221111122221111244442222111212222444442222211111142222233322222342333333332222222442444,1,13950,21260,16020,330,0,3630,25,47,"[29, 28, 28, 30, 27, 25, 27, 29, 38, 37, 30, 40, 33, 52, 33, 31, 47, 37, 40, 50, 55, 47, 73, 41, 51, 42, 44, 51, 50, 70, 50, 69, 60, 56, 40, 38, 47, 55, 53, 53, 0, 0, 41, 40, 39, 34, 41, 35, 38, 29, 33, 46, 55, 40, 66, 74, 38, 42, 52, 45, 52, 41, 58, 67, 59, 62, 61, 64, 61, 64, 55, 59, 34, 48, 55, 35, 57, 0, 0, 0, 52, 47, 50, 52, 58, 55, 65, 41, 53, 60, 52, 46, 69, 70, 51, 57, 56, 49, 52, 45, 48, 41, 42, 58, 64, 34, 38, 47, 0, 0]",69,20,100,48,74,75,54,83,2020-03-20,0.21,0.21,0.12,60,26640
6,7410,2020-03-22T09:48:31+01:00,35311,2020-03-22T01:58:31+01:00,7111,14.75,6870,28200,74,"[0, 54, 54, 53, 53, 53, 53, 53, 53, 53, 55, 58, 0, 53, 53, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 57, 57, 55, 56, 57, 57, 57, 56, 56, 56, 55, 55, 55, 54, 54, 54, 54, 55, 55, 54, 53, 54, 54, 55, 55, 57, 65, 0, 55, 0, 54, 55, 56, 55, 56, 56, 55, 54, 55, 56, 57, 57, 0, 56, 56, 55, 55, 56, 56, 55, 56, 57, 57, 57, 57, 59, 58, 59, 59, 56, 56, 56, 55, 55, 0, 60, 59, 60]",55.61,53,2221111111142111144444444222222221111122322112211114344442222222222223222222222244224422224424,1,13320,21061,13950,150,0,600,24,43,"[0, 38, 34, 31, 26, 34, 29, 29, 30, 30, 24, 31, 0, 34, 40, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 53, 58, 36, 61, 42, 31, 29, 34, 44, 41, 41, 46, 40, 71, 52, 49, 43, 36, 56, 63, 72, 61, 54, 45, 42, 33, 25, 0, 29, 0, 47, 37, 35, 37, 41, 33, 40, 43, 45, 46, 37, 33, 0, 38, 52, 62, 58, 57, 49, 53, 55, 53, 71, 61, 59, 34, 33, 40, 39, 35, 40, 53, 46, 47, 0, 30, 34, 40]",52,21,98,40,58,67,9,59,2020-03-21,0.03,0.03,0.15,60,20790
7,7890,2020-03-23T08:53:06+01:00,31986,2020-03-23T00:39:06+01:00,2346,14.375,7800,29640,73,"[55, 55, 55, 55, 54, 54, 54, 56, 59, 57, 58, 57, 57, 57, 58, 57, 58, 57, 56, 56, 54, 56, 56, 57, 56, 57, 57, 56, 57, 55, 57, 56, 56, 55, 55, 55, 55, 0, 0, 54, 54, 55, 54, 54, 54, 53, 53, 53, 54, 58, 56, 60, 57, 57, 54, 55, 55, 56, 56, 56, 55, 56, 56, 56, 55, 53, 54, 56, 0, 54, 53, 54, 54, 55, 55, 57, 57, 54, 54, 59, 0, 54, 55, 56, 56, 56, 57, 56, 56, 56, 55, 57, 58, 57, 58, 58, 57, 57, 0]",55.73,53,422211111122221114222222111112443331144222111222424244222221111112214422224444444423322222222424444,1,12510,16026,13680,210,0,1440,26,41,"[35, 31, 34, 23, 25, 27, 27, 22, 43, 52, 43, 38, 37, 35, 38, 34, 42, 47, 47, 58, 36, 48, 38, 45, 57, 56, 51, 59, 50, 45, 49, 33, 52, 39, 29, 31, 35, 0, 0, 40, 36, 28, 34, 32, 37, 42, 42, 32, 49, 48, 44, 32, 46, 42, 44, 54, 51, 48, 39, 34, 41, 40, 40, 42, 51, 51, 52, 61, 0, 61, 60, 58, 59, 51, 65, 36, 37, 66, 43, 34, 0, 42, 36, 45, 35, 38, 45, 41, 40, 51, 71, 63, 62, 58, 42, 51, 51, 47, 0]",60,56,99,52,55,70,21,63,2020-03-22,-0.2,-0.2,0.04,60,21750
8,5100,2020-03-24T09:20:01+01:00,33601,2020-03-24T01:10:01+01:00,4201,14.375,10050,29400,83,"[0, 55, 54, 54, 53, 53, 53, 54, 54, 55, 56, 58, 57, 56, 57, 57, 57, 57, 56, 56, 56, 56, 57, 57, 58, 61, 63, 64, 58, 57, 57, 57, 56, 56, 56, 56, 57, 58, 57, 57, 57, 57, 57, 55, 55, 56, 56, 55, 55, 58, 56, 61, 59, 54, 56, 56, 56, 56, 56, 56, 56, 0, 0, 0, 0, 57, 61, 59, 58, 58, 57, 56, 57, 56, 56, 56, 56, 57, 56, 56, 58, 60, 58, 56, 0, 58, 56, 56, 56, 56, 56, 56, 56, 56, 57, 58, 63, 67, 0]",56.83,53,42211111111111112111112144112222111212322112222112211442222113334423343242222122244433222111224224,1,11670,18181,13980,240,0,2580,22,36,"[0, 29, 30, 37, 44, 33, 33, 43, 39, 34, 37, 49, 52, 47, 39, 38, 31, 28, 29, 29, 32, 43, 46, 54, 45, 28, 31, 27, 32, 36, 33, 37, 31, 31, 30, 40, 40, 43, 47, 37, 33, 40, 47, 39, 54, 31, 36, 43, 40, 47, 44, 32, 63, 65, 38, 30, 31, 31, 31, 33, 44, 0, 0, 0, 0, 40, 40, 42, 40, 50, 51, 40, 36, 47, 40, 34, 41, 46, 35, 38, 58, 40, 41, 50, 0, 44, 35, 36, 36, 33, 44, 38, 58, 56, 75, 38, 31, 23, 0]",66,38,100,54,79,70,38,74,2020-03-23,0.06,0.06,0.02,60,24300
9,5610,2020-03-25T09:03:01+01:00,32581,2020-03-25T01:06:01+01:00,3961,14.125,7080,28620,80,"[61, 58, 56, 56, 55, 55, 54, 55, 54, 55, 55, 56, 59, 61, 58, 57, 56, 56, 57, 57, 56, 56, 56, 56, 57, 57, 58, 58, 58, 57, 56, 55, 60, 57, 55, 55, 55, 55, 54, 54, 55, 55, 56, 56, 56, 57, 55, 54, 54, 0, 0, 0, 0, 56, 60, 66, 58, 58, 57, 57, 57, 58, 56, 56, 55, 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 57, 0, 56, 56, 57, 57, 0, 57, 57, 56, 56, 56, 56, 57, 58, 59, 57, 0, 0, 58]",56.6,54,422222111222112211211111112111112244222211122112211333224422222222333344444433322433222222224444,1,12240,17371,13410,450,0,3690,23,39,"[26, 20, 39, 23, 34, 31, 25, 32, 47, 30, 50, 45, 48, 41, 32, 48, 57, 37, 36, 40, 30, 24, 30, 27, 38, 40, 43, 40, 41, 38, 57, 54, 41, 43, 51, 55, 52, 48, 39, 38, 45, 46, 45, 54, 50, 38, 41, 34, 40, 0, 0, 0, 0, 41, 42, 24, 60, 32, 33, 30, 28, 33, 56, 37, 44, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 23, 0, 60, 56, 93, 47, 0, 31, 30, 22, 23, 33, 30, 65, 39, 37, 24, 0, 0, 38]",67,44,98,51,74,81,55,69,2020-03-24,0.06,0.06,0.08,60,23010
10,5130,2020-03-26T06:06:01+01:00,21961,2020-03-26T00:58:01+01:00,3481,14.0,6030,18480,72,"[59, 59, 59, 59, 59, 59, 59, 58, 58, 58, 60, 60, 62, 62, 62, 63, 61, 62, 61, 61, 61, 62, 61, 59, 59, 59, 59, 57, 57, 57, 55, 57, 57, 58, 58, 57, 57, 57, 58, 63, 60, 0, 56, 57, 0, 0, 59, 59, 60, 60, 61, 0, 0, 60, 58, 57, 58, 59, 60, 63, 61, 59]",59.23,55,42211111211422222111111222222111211111422444442222244422222144,1,7230,11671,8190,330,0,90,25,41,"[21, 24, 29, 23, 23, 20, 35, 30, 46, 27, 30, 46, 40, 43, 34, 50, 46, 39, 43, 35, 46, 41, 61, 45, 46, 36, 46, 67, 45, 55, 37, 41, 36, 27, 51, 41, 38, 35, 36, 32, 56, 0, 46, 54, 0, 0, 28, 30, 39, 38, 39, 0, 0, 35, 59, 60, 54, 40, 34, 41, 40, 45]",48,92,97,39,53,75,2,29,2020-03-25,0.19,0.19,0.18,60,13350
11,6540,2020-03-27T09:04:18+01:00,32658,2020-03-26T22:48:18+01:00,-4302,14.0,7170,36960,82,"[62, 60, 59, 58, 58, 58, 58, 58, 58, 58, 59, 59, 59, 60, 59, 62, 63, 63, 60, 59, 59, 59, 60, 58, 57, 57, 57, 57, 57, 57, 58, 57, 57, 58, 61, 60, 63, 58, 60, 0, 56, 56, 55, 55, 55, 56, 55, 55, 55, 56, 57, 56, 57, 57, 58, 57, 57, 58, 57, 56, 56, 59, 57, 57, 56, 56, 56, 56, 56, 56, 56, 56, 54, 55, 55, 55, 54, 56, 58, 58, 59, 58, 53, 54, 54, 54, 55, 55, 54, 56, 0, 0, 56, 56, 55, 56, 58, 60, 61, 62, 58, 57, 56, 57, 58, 58, 56, 55, 55, 56, 57, 57, 57, 58, 58, 58, 59, 59, 58, 60, 58, 59, 63, 0]",57.41,53,4422211111121111212212112212122112222244422221112223222244222242221221224222223442222221233322223344422222222233333333233344,1,17820,13788,18090,540,0,5430,25,38,"[29, 26, 29, 33, 34, 23, 20, 29, 24, 21, 19, 19, 19, 20, 30, 37, 45, 47, 21, 24, 32, 25, 19, 29, 35, 39, 34, 49, 52, 29, 23, 24, 43, 30, 30, 42, 38, 33, 40, 0, 34, 29, 39, 33, 30, 27, 32, 32, 59, 57, 47, 58, 33, 50, 41, 39, 42, 51, 49, 49, 41, 39, 44, 24, 26, 28, 29, 28, 25, 35, 35, 32, 51, 40, 43, 43, 55, 32, 36, 52, 55, 47, 66, 63, 52, 46, 57, 49, 46, 51, 0, 0, 60, 51, 51, 50, 48, 45, 53, 54, 28, 41, 48, 48, 43, 36, 61, 51, 50, 56, 35, 44, 46, 36, 40, 38, 54, 41, 48, 58, 58, 47, 38, 0]",85,74,98,67,76,83,82,97,2020-03-26,0.0,0.0,0.16,60,30420
12,5310,2020-03-28T09:30:00+01:00,34200,2020-03-28T01:03:00+01:00,3780,14.625,8400,30420,83,"[59, 58, 55, 56, 56, 56, 56, 56, 56, 55, 55, 56, 58, 59, 60, 59, 59, 58, 59, 0, 0, 59, 58, 58, 58, 58, 59, 59, 59, 59, 58, 58, 61, 58, 59, 58, 58, 58, 58, 56, 55, 55, 56, 56, 58, 57, 57, 56, 55, 57, 58, 59, 58, 60, 60, 57, 57, 56, 58, 58, 58, 57, 57, 57, 56, 57, 57, 58, 60, 59, 57, 58, 0, 0, 57, 57, 0, 0, 56, 57, 58, 58, 59, 57, 0, 61, 67, 69, 60, 59, 61, 59, 57, 58, 58, 58, 58, 58, 57, 58, 60, 0]",57.94,55,422211111111224421133112222111122112212122111211222224422212222222223322432233222114423444222222112244,1,14220,18270,14490,540,0,2490,27,40,"[39, 43, 56, 41, 31, 36, 24, 24, 27, 32, 35, 34, 32, 48, 35, 33, 60, 27, 20, 0, 0, 49, 40, 40, 35, 33, 26, 38, 38, 36, 31, 31, 34, 44, 50, 27, 33, 29, 31, 51, 43, 44, 30, 33, 54, 47, 49, 67, 58, 45, 34, 34, 48, 47, 46, 53, 44, 47, 42, 43, 61, 61, 54, 41, 46, 53, 36, 42, 33, 40, 54, 52, 0, 0, 54, 63, 0, 0, 53, 45, 46, 47, 56, 54, 0, 46, 31, 30, 42, 47, 27, 41, 40, 39, 46, 45, 38, 44, 49, 57, 41, 0]",70,37,99,65,79,83,37,77,2020-03-27,0.16,0.16,0.18,60,25110
