DAY,chlorella,spirulina,chocolate100,c8,vitaminc,glutamin,vitamind,omega3,greentea,phosphatidylserine (g),mela. (+Mg. PassFlor),reishi,mag.,magBisglyc.
3/15/2020,YES,YES,YES,NO,NO,NO,YES,YES,YES,0,YES,NO,YES,
3/16/2020,YES,YES,YES,NO,NO,NO,YES,YES,YES,0,NO,NO,NO,
3/17/2020,YES,YES,YES,NO,NO,NO,YES,NO,YES,0,NO,NO,YES,
3/18/2020,YES,NO,YES,NO,NO,NO,YES,NO,YES,0,NO,NO,NO,
3/19/2020,NO,NO,NO,NO,NO,NO,NO,NO,NO,0,NO,NO,NO,
3/20/2020,YES,NO,YES,NO,NO,NO,NO,NO,YES,0,NO,NO,NO,
3/21/2020,YES,NO,YES,NO,NO,NO,YES,YES,YES,0,NO,NO,NO,
3/22/2020,YES,NO,YES,NO,NO,NO,NO,NO,YES,0,NO,NO,NO,
3/23/2020,YES,NO,YES,NO,NO,NO,YES,NO,YES,0,NO,NO,NO,
3/24/2020,YES,NO,YES,NO,NO,NO,NO,NO,YES,0,NO,NO,NO,
3/25/2020,YES,YES,YES,NO,NO,NO,NO,NO,YES,0,NO,NO,NO,
3/26/2020,YES,NO,YES,NO,NO,NO,NO,NO,YES,0.2,NO,NO,YES,
3/27/2020,YES,YES,YES,NO,NO,NO,NO,NO,YES,0.2,NO,NO,NO,
3/28/2020,YES,YES,YES,NO,NO,NO,NO,NO,YES,0.1,NO,NO,NO,
3/29/2020,YES,NO,YES,NO,NO,NO,NO,NO,YES,0,NO,NO,NO,
3/30/2020,YES,YES,YES,NO,NO,NO,NO,NO,YES,0,NO,NO,NO,
3/31/2020,YES,YES,YES,NO,NO,NO,NO,NO,YES,0,NO,YES,NO,
4/1/2020,YES,YES,YES,NO,NO,NO,NO,NO,YES,0,NO,NO,NO,
4/2/2020,YES,YES,YES,NO,NO,NO,NO,NO,YES,0.1,NO,NO,NO,
4/3/2020,YES,YES,YES,NO,NO,NO,NO,YES,YES,0.1,NO,YES,NO,
4/4/2020,YES,YES,YES,NO,NO,NO,NO,YES,YES,0,NO,NO,NO,
4/5/2020,YES,YES,YES,YES,NO,NO,YES,YES,YES,0,NO,YES,NO,
4/6/2020,YES,YES,YES,NO,NO,NO,YES,YES,YES,0,NO,YES,NO,
4/7/2020,YES,YES,YES,YES,NO,NO,YES,YES,YES,0,NO,YES,NO,
4/8/2020,YES,YES,YES,NO,NO,NO,YES,YES,YES,0,NO,YES,NO,
4/9/2020,YES,YES,YES,NO,NO,NO,YES,YES,YES,0,NO,YES,NO,
4/10/2020,YES,YES,YES,YES,NO,NO,YES,YES,YES,0,NO,YES,NO,
4/11/2020,YES,YES,YES,NO,NO,NO,YES,YES,YES,0,NO,YES,NO,
4/12/2020,YES,YES,YES,YES,NO,NO,YES,YES,YES,0,NO,YES,NO,
4/13/2020,YES,YES,YES,NO,NO,NO,YES,YES,YES,0,NO,YES,NO,
4/14/2020,YES,YES,YES,NO,NO,NO,YES,YES,YES,0,NO,YES,NO,
4/15/2020,YES,YES,YES,NO,NO,NO,YES,YES,YES,0,NO,YES,NO,
4/16/2020,YES,YES,YES,NO,NO,NO,YES,YES,YES,0.1,YES,NO,NO,
4/17/2020,NO,YES,YES,NO,YES,YES,YES,YES,YES,0.1,NO,NO,NO,
4/18/2020,NO,NO,YES,NO,YES,YES,YES,YES,YES,0.1,NO,NO,NO,
4/19/2020,NO,NO,YES,NO,YES,YES,YES,YES,YES,0,NO,NO,NO,
4/20/2020,YES,NO,YES,NO,YES,YES,YES,YES,YES,0,NO,NO,YES,
4/21/2020,YES,YES,YES,NO,YES,YES,YES,YES,YES,0,NO,YES,NO,
4/22/2020,YES,YES,YES,NO,YES,YES,YES,YES,YES,0.1,NO,YES,YES,
4/23/2020,YES,YES,YES,NO,YES,YES,YES,YES,YES,0.1,NO,YES,YES,
4/24/2020,NO,NO,NO,NO,NO,NO,NO,NO,NO,0,NO,NO,NO,
4/25/2020,YES,NO,NO,NO,NO,YES,NO,NO,NO,0,NO,NO,NO,
4/26/2020,YES,YES,NO,NO,NO,YES,NO,NO,NO,0,NO,YES,YES,
4/27/2020,YES,YES,NO,NO,NO,NO,NO,NO,NO,0,NO,YES,NO,
4/28/2020,YES,YES,NO,NO,NO,YES,NO,NO,NO,0,NO,YES,NO,
4/29/2020,YES,YES,NO,YES,NO,YES,NO,NO,NO,0,NO,YES,NO,
4/30/2020,YES,YES,NO,YES,NO,NO,NO,NO,NO,0,NO,YES,NO,
5/1/2020,YES,YES,NO,YES,NO,YES,NO,NO,NO,0,NO,YES,YES,
5/2/2020,YES,YES,NO,YES,NO,NO,NO,NO,NO,0,NO,YES,YES,
5/3/2020,NO,YES,NO,YES,NO,NO,NO,NO,NO,0,NO,YES,YES,
5/4/2020,YES,YES,NO,NO,NO,NO,NO,NO,NO,0,NO,YES,NO,
5/5/2020,YES,YES,NO,YES,NO,YES,NO,NO,NO,0,NO,NO,YES,
5/6/2020,YES,YES,NO,YES,NO,YES,NO,NO,NO,0,NO,NO,YES,
5/7/2020,YES,YES,NO,YES,NO,YES,NO,YES,NO,0,NO,NO,NO,
5/8/2020,YES,YES,NO,NO,NO,YES,NO,NO,NO,0,NO,NO,NO,
5/9/2020,YES,NO,NO,NO,NO,NO,NO,NO,NO,0,NO,NO,NO,
5/10/2020,YES,YES,NO,YES,NO,YES,NO,NO,NO,0.1,NO,YES,NO,
5/11/2020,YES,YES,NO,NO,NO,NO,NO,NO,NO,0,NO,NO,NO,
5/12/2020,YES,YES,NO,YES,NO,NO,NO,NO,NO,0,NO,YES,NO,
5/13/2020,YES,YES,NO,NO,NO,NO,NO,NO,NO,0,NO,NO,NO,1.8
5/14/2020,YES,YES,NO,NO,YES,NO,NO,NO,NO,0,NO,NO,NO,0.4
5/15/2020,YES,YES,NO,NO,NO,NO,NO,NO,NO,0,NO,NO,NO,0.1
5/16/2020,YES,NO,NO,NO,YES,NO,NO,NO,NO,0,NO,YES,NO,0.4
5/17/2020,YES,NO,NO,NO,NO,NO,NO,NO,NO,0,NO,YES,NO,1.8
5/18/2020,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.1,NO,NO,NO,0.4
5/19/2020,YES,NO,NO,NO,NO,NO,NO,NO,NO,0.1,NO,YES,NO,0.1
5/20/2020,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.1,NO,NO,NO,0.2
5/21/2020,NO,NO,NO,YES,NO,NO,NO,NO,NO,0.1,NO,NO,NO,0.3
5/22/2020,NO,YES,NO,NO,NO,NO,NO,NO,NO,0,NO,NO,NO,1.4
5/23/2020,NO,NO,NO,YES,NO,NO,NO,NO,NO,0.1,NO,NO,NO,1
5/24/2020,YES,YES,YES,NO,NO,NO,YES,YES,YES,0,NO,NO,NO,0
5/25/2020,YES,NO,NO,NO,NO,YES,NO,NO,NO,0,NO,NO,NO,2
5/26/2020,YES,YES,YES,NO,NO,NO,YES,YES,YES,0,NO,NO,NO,0
5/27/2020,YES,YES,YES,NO,YES,NO,YES,YES,YES,0,NO,NO,NO,0
5/28/2020,YES,NO,NO,NO,NO,NO,NO,NO,NO,0,NO,NO,NO,0.4
5/29/2020,YES,YES,YES,NO,NO,YES,YES,YES,YES,0.1,NO,NO,NO,0.2
5/30/2020,YES,YES,YES,NO,YES,YES,YES,YES,YES,0.1,YES,NO,NO,0.4
5/31/2020,YES,YES,YES,NO,NO,NO,YES,YES,YES,0.1,NO,NO,NO,0.4